DataSetID|EntitySortOrder|ColumnPosition|AttributeID|AttributeName|AttributeLabel|Description|StorageType|MeasurementScaleDomainID|FormatString|PrecisionDateTime|Enumeration_xml|TextPatternDefinition|Unit|PrecisionNumeric|NumberType|Bounds_xml|MissingValueCode_xml
7001|2|1|transect_id_2|Transect_ID|Transect ID|Individual identifier for each transect.|integer|nominalText||||integer as text|||||
1|1|3|no_corals_id|Num_corals|Number of corals|The count of the number of corals surveyed|Integer|ratio|||||number|1|whole||
1|1|4|richness_id|Richness|Richness|Species Richness is the total number of unique species observed.|integer|ratio|||||number|1|integer||
1|2|3|no_corals_abund_id|Num_corals|Number of corals|The count of the number of corals surveyed|Integer|ratio|||||number|1|whole||
1|2|4|abundance_id|Abundance|Abundance|Species Abundance is the mean number of individuals observed per cubic meter of Porites rus surveyed in the Viapa'hu Lagoon on Moorea's north shore.|float|ratio|||||numberPerMeterCubed|1|real||
10|1|6|longitude|Longitude|longitude [degrees_east]|Longitude recorded by the first CTD sample at the station, if available. If not available, then nominal longitude for this location. East is positive. Column required by ODV: all samples which are to be considered at same station must have the same value in this column.|float|ratio|||||degree|1e-05|real|<bounds><minimum exclusive="false">-180180</minimum><maximum exclusive="false">-180180</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode><missingValueCode><code>NaN</code><codeExplanation>no output</codeExplanation></missingValueCode>
10|1|7|latitude|Latitude|latitude [degrees_north]|Latitude recorded by the first ctd sample at the station, if available. If not available, then nominal latitude for this location. North is positive. Column required by ODV: all samples which are to be considered at same station must have the same value in this column.|float|ratio|||||degree|1e-05|real|<bounds><minimum exclusive="false">-9090</minimum><maximum exclusive="false">-9090</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode><missingValueCode><code>NaN</code><codeExplanation>no output</codeExplanation></missingValueCode>
10|1|8|bottom depth|Bottom_Depth|Bot. Depth [m]|Estimated depth to the bottom at this station. Required by ODV.|float|ratio|||||meter|1|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|9|depth|Depth|Depth SW [m]|Depth based on seawater density, averaged for points in this bin. Positive is down.|float|ratio|||||meter|0.001|real|<bounds><minimum exclusive="false">01000</minimum><maximum exclusive="false">01000</maximum></bounds>|<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
10|1|10|decimalyear|Decimal_Year|Decimal Year [yr]|year (yyyy) plus day-time as a fraction of a year, ie, half way thru 2005 = 2005.5|float|ratio|||||nominalYear|1e-09|real||<missingValueCode><code>99999</code><codeExplanation>no measurement collected at this point, or not available</codeExplanation></missingValueCode>
